Scientific Domain,Level of Difficulty,Main Tenor
Astronomy,Elementary,solar system
Astronomy,Intermediate,big bang theory
Astronomy,Advanced,theory of the naked singularity
Biology,Elementary,ecosystems
Biology,Intermediate,DNA
Biology,Advanced,endocrine system
Chemistry,Elementary,chemical reaction
Chemistry,Intermediate,molecular compounds
Chemistry,Advanced,chemical kinetics
Computer Science,Elementary,computer program
Computer Science,Intermediate,API
Computer Science,Advanced,distributed computing
Geography,Elementary,atmosphere
Geography,Intermediate,topographic maps
Geography,Advanced,polar vortex
Geology,Elementary,volcano
Geology,Intermediate,plate tectonics
Geology,Advanced,isotope analysis
Physics,Elementary,energy
Physics,Intermediate,momentum
Physics,Advanced,superstring theory
