Level of Difficulty,Scientific Domain,Model and Prompt Design,Rater ID,Fluency,Scientific Precision,Relatedness,Validity,Willingness to adopt,Inspirational effect
Elementary,Biology,gpt-3-0-vanila,E5,5,4,4,4,O,O
Elementary,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Biology,gpt-3-0-vanila,E5,5,1,1,1,X,X
Elementary,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Biology,gpt-3-0-vanila,E5,5,2,2,2,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Biology,gpt-3-0-vanila,E5,5,3,3,3,X,O
Advanced,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Biology,gpt-3-0-vanila,E5,5,3,1,2,O,O
Advanced,Biology,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Biology,gpt-3-0-vanila,E5,4,5,1,4,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,5,5,2,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,1,4,1,X,X
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,5,4,5,4,X,X
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,5,1,3,2,X,X
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,4,5,4,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,4,5,4,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,1,1,1,1,1,X
Elementary,Biology,gpt-3-10-augmented,E5,5,5,5,5,O,O
Elementary,Biology,gpt-3-10-augmented,E5,5,4,5,4,O,O
Elementary,Biology,gpt-3-10-augmented,E5,5,5,5,5,O,O
Elementary,Biology,gpt-3-10-augmented,E5,5,5,5,5,O,O
Elementary,Biology,gpt-3-10-augmented,E5,5,5,5,5,O,O
Intermediate,Biology,gpt-3-10-augmented,E5,5,3,4,4,O,O
