Level of Difficulty,Scientific Domain,Model,Rater ID,Originality,Metaphoricity,Validity,Relevance to main metaphorical concept,Coherence of sub metaphorical concepts,Willingness to adopt,Inspirational effect
Elementary,Biology,gpt-3-0-vanila,E5,5,5,4,5,5,O,O
Elementary,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Elementary,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Elementary,Biology,gpt-3-0-vanila,E5,5,5,4,5,5,O,O
Elementary,Biology,gpt-3-0-vanila,E5,1,1,1,0,0,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Intermediate,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Advanced,Biology,gpt-3-0-vanila,E5,3,4,1,4,3,X,X
Advanced,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Advanced,Biology,gpt-3-0-vanila,E5,1,1,1,0,0,X,X
Advanced,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Advanced,Biology,gpt-3-0-vanila,E5,1,1,1,1,1,X,X
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,0,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,0,O,O
Elementary,Chemistry,gpt-3-0-vanila,E5,4,3,4,5,0,X,O
Elementary,Chemistry,gpt-3-0-vanila,E5,3,4,3,1,1,X,X
Elementary,Chemistry,gpt-3-0-vanila,E5,4,4,5,5,0,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,4,1,1,4,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,4,4,3,3,3,X,X
Intermediate,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,5,O,O
Intermediate,Chemistry,gpt-3-0-vanila,E5,3,3,1,3,3,X,X
Intermediate,Chemistry,gpt-3-0-vanila,E5,3,3,3,3,3,X,X
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,5,X,X
Advanced,Chemistry,gpt-3-0-vanila,E5,1,1,1,1,0,X,X
Advanced,Chemistry,gpt-3-0-vanila,E5,4,5,4,4,0,O,O
Advanced,Chemistry,gpt-3-0-vanila,E5,4,4,2,5,3,X,X
Advanced,Chemistry,gpt-3-0-vanila,E5,5,5,5,5,3,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,2,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,1,3,3,3,0,X,X
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,5,4,5,O,O
Elementary,Earth Science,gpt-3-0-vanila,E5,5,5,3,3,0,X,X
Elementary,Earth Science,gpt-3-0-vanila,E5,4,4,2,1,0,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E5,5,5,5,5,4,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,4,4,2,3,3,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E5,4,4,4,4,2,X,X
Intermediate,Earth Science,gpt-3-0-vanila,E5,4,4,4,1,3,O,O
Intermediate,Earth Science,gpt-3-0-vanila,E5,4,4,2,4,3,X,X
Advanced,Earth Science,gpt-3-0-vanila,E5,1,1,3,3,0,X,X
Advanced,Earth Science,gpt-3-0-vanila,E5,4,4,2,1,2,X,X
Advanced,Earth Science,gpt-3-0-vanila,E5,1,1,3,3,0,X,X
Advanced,Earth Science,gpt-3-0-vanila,E5,5,5,3,1,3,O,O
Advanced,Earth Science,gpt-3-0-vanila,E5,1,1,3,4,0,X,X
Elementary,Biology,gpt-3-10-augmented,E5,5,5,5,5,5,O,O
